,Team,Opponent,Year,Goals,OppGoals,Rating,OppRating,Rd,OppRd,HF,HomeAway,RatingDif,EffRd,RatingDifRat,EffHf
0,Portsmouth,Fulham,2009,0,1,1738.4546186292603,1753.1486397339713,62.83215827157227,62.9663843887669,54.198012589990654,1,-14.694021104711055,88.95305321380405,-0.16518849633405033,54.198012589990654
1,Fulham,Portsmouth,2009,1,0,1753.1486397339713,1738.4546186292603,62.9663843887669,62.83215827157227,54.198012589990654,-1,14.694021104711055,88.95305321380405,0.16518849633405033,-54.198012589990654
2,Bolton Wanderers,Sunderland,2009,0,1,1714.575802250411,1672.0112074730496,62.93274025621577,63.19760318713546,54.198012589990654,1,42.564594777361435,89.18781780464727,0.47724673419628777,54.198012589990654
3,Sunderland,Bolton Wanderers,2009,1,0,1672.0112074730496,1714.575802250411,63.19760318713546,62.93274025621577,54.198012589990654,-1,-42.564594777361435,89.18781780464727,-0.47724673419628777,-54.198012589990654
4,Blackburn Rovers,Manchester City,2009,0,2,1753.154720704755,1754.3300584075887,62.83052700210247,62.808770590061066,54.198012589990654,1,-1.1753377028337582,88.84040064293299,-0.013229765898486559,54.198012589990654
5,Manchester City,Blackburn Rovers,2009,2,0,1754.3300584075887,1753.154720704755,62.808770590061066,62.83052700210247,54.198012589990654,-1,1.1753377028337582,88.84040064293299,0.013229765898486559,-54.198012589990654
6,Stoke City,Burnley,2009,2,0,1699.0713373274925,1631.6558490215239,62.73678106525457,60.438980512086026,54.198012589990654,1,67.41548830596867,87.11356991749334,0.7738804456047313,54.198012589990654
7,Burnley,Stoke City,2009,0,2,1631.6558490215239,1699.0713373274925,60.438980512086026,62.73678106525457,54.198012589990654,-1,-67.41548830596867,87.11356991749334,-0.7738804456047313,-54.198012589990654
8,Everton,Arsenal,2009,1,6,1850.0015377540155,1938.5025512675513,63.02645891679973,64.6624741569269,54.198012589990654,1,-88.50101351353578,90.29712114838593,-0.9801089158545976,54.198012589990654
9,Arsenal,Everton,2009,6,1,1938.5025512675513,1850.0015377540155,64.6624741569269,63.02645891679973,54.198012589990654,-1,88.50101351353578,90.29712114838593,0.9801089158545976,-54.198012589990654
10,Chelsea,Hull City,2009,2,1,2006.3262891980687,1635.1130804324957,66.56349057693723,63.04286864001242,54.198012589990654,1,371.213208765573,91.67934098883931,4.049038799381892,54.198012589990654
11,Hull City,Chelsea,2009,1,2,1635.1130804324957,2006.3262891980687,63.04286864001242,66.56349057693723,54.198012589990654,-1,-371.213208765573,91.67934098883931,-4.049038799381892,-54.198012589990654
12,Wolverhampton Wanderers,West Ham United,2009,0,2,1695.0875609785214,1758.8565782913472,60.96482012193933,62.90618407125823,54.198012589990654,1,-63.76901731282578,87.60078359756517,-0.7279503069947221,54.198012589990654
13,West Ham United,Wolverhampton Wanderers,2009,2,0,1758.8565782913472,1695.0875609785214,62.90618407125823,60.96482012193933,54.198012589990654,-1,63.76901731282578,87.60078359756517,0.7279503069947221,-54.198012589990654
14,Aston Villa,Wigan Athletic,2009,0,2,1825.792411763561,1716.2972690567747,63.02950545393686,63.03214329153286,54.198012589990654,1,109.49514270678628,89.13904669499325,1.2283634026449195,54.198012589990654
15,Wigan Athletic,Aston Villa,2009,2,0,1716.2972690567747,1825.792411763561,63.03214329153286,63.02950545393686,54.198012589990654,-1,-109.49514270678628,89.13904669499325,-1.2283634026449195,-54.198012589990654
16,Tottenham Hotspur,Liverpool,2009,2,1,1779.9796216635102,1980.0469044369597,62.88693754063283,64.90047844727765,54.198012589990654,1,-200.0672827734495,90.37056498620004,-2.213854508976464,54.198012589990654
17,Liverpool,Tottenham Hotspur,2009,1,2,1980.0469044369597,1779.9796216635102,64.90047844727765,62.88693754063283,54.198012589990654,-1,200.0672827734495,90.37056498620004,2.213854508976464,-54.198012589990654
18,Manchester United,Birmingham City,2009,1,0,2029.992320572002,1697.5143179644404,66.6921351783104,61.52977524523245,54.198012589990654,1,332.4780026075616,90.7400360170242,3.6640717504805016,54.198012589990654
19,Birmingham City,Manchester United,2009,0,1,1697.5143179644404,2029.992320572002,61.52977524523245,66.6921351783104,54.198012589990654,-1,-332.4780026075616,90.7400360170242,-3.6640717504805016,-54.198012589990654
20,Sunderland,Chelsea,2009,1,3,1672.0112074730496,2006.3262891980687,63.19760318713546,66.56349057693723,54.198012589990654,1,-334.3150817250191,91.78581222816872,-3.642339416182876,54.198012589990654
21,Chelsea,Sunderland,2009,3,1,2006.3262891980687,1672.0112074730496,66.56349057693723,63.19760318713546,54.198012589990654,-1,334.3150817250191,91.78581222816872,3.642339416182876,-54.198012589990654
22,Wigan Athletic,Wolverhampton Wanderers,2009,0,1,1716.2972690567747,1695.0875609785214,63.03214329153286,60.96482012193933,54.198012589990654,1,21.209708078253243,87.69127881622408,0.24186792990786168,54.198012589990654
23,Wolverhampton Wanderers,Wigan Athletic,2009,1,0,1695.0875609785214,1716.2972690567747,60.96482012193933,63.03214329153286,54.198012589990654,-1,-21.209708078253243,87.69127881622408,-0.24186792990786168,-54.198012589990654
24,Liverpool,Stoke City,2009,4,0,1980.0469044369597,1699.0713373274925,64.90047844727765,62.73678106525457,54.198012589990654,1,280.9755671094672,90.26613872939971,3.112746053664455,54.198012589990654
25,Stoke City,Liverpool,2009,0,4,1699.0713373274925,1980.0469044369597,62.73678106525457,64.90047844727765,54.198012589990654,-1,-280.9755671094672,90.26613872939971,-3.112746053664455,-54.198012589990654
26,Burnley,Manchester United,2009,1,0,1631.6558490215239,2029.992320572002,60.438980512086026,66.6921351783104,54.198012589990654,1,-398.3364715504781,90.0039513576062,-4.425766486271215,54.198012589990654
27,Manchester United,Burnley,2009,0,1,2029.992320572002,1631.6558490215239,66.6921351783104,60.438980512086026,54.198012589990654,-1,398.3364715504781,90.0039513576062,4.425766486271215,-54.198012589990654
28,Hull City,Tottenham Hotspur,2009,1,5,1635.1130804324957,1779.9796216635102,63.04286864001242,62.88693754063283,54.198012589990654,1,-144.86654123101448,89.04588816785038,-1.626875133840463,54.198012589990654
29,Tottenham Hotspur,Hull City,2009,5,1,1779.9796216635102,1635.1130804324957,62.88693754063283,63.04286864001242,54.198012589990654,-1,144.86654123101448,89.04588816785038,1.626875133840463,-54.198012589990654
30,Birmingham City,Portsmouth,2009,1,0,1697.5143179644404,1738.4546186292603,61.52977524523245,62.83215827157227,54.198012589990654,1,-40.940300664819915,87.94198857651973,-0.4655375813931829,54.198012589990654
31,Portsmouth,Birmingham City,2009,0,1,1738.4546186292603,1697.5143179644404,62.83215827157227,61.52977524523245,54.198012589990654,-1,40.940300664819915,87.94198857651973,0.4655375813931829,-54.198012589990654
32,Arsenal,Portsmouth,2009,4,1,1948.8238650973253,1716.7000933703637,63.71800473759049,61.05638253181396,52.40101675763517,1,232.12377172696165,88.24888654034565,2.6303308837878565,52.40101675763517
33,Portsmouth,Arsenal,2009,1,4,1716.7000933703637,1948.8238650973253,61.05638253181396,63.71800473759049,52.40101675763517,-1,-232.12377172696165,88.24888654034565,-2.6303308837878565,-52.40101675763517
34,Sunderland,Blackburn Rovers,2009,2,1,1681.9659062292872,1740.7381428545702,61.846830503234756,61.98527339233114,52.40101675763517,1,-58.772236625283085,87.56257511527332,-0.6712026975898244,52.40101675763517
35,Blackburn Rovers,Sunderland,2009,1,2,1740.7381428545702,1681.9659062292872,61.98527339233114,61.846830503234756,52.40101675763517,-1,58.772236625283085,87.56257511527332,0.6712026975898244,-52.40101675763517
36,Hull City,Bolton Wanderers,2009,1,0,1625.225067690081,1700.8236997140712,61.93815086433365,62.12960783535116,52.40101675763517,1,-75.59863202399015,87.72925796031495,-0.8617265639951931,52.40101675763517
37,Bolton Wanderers,Hull City,2009,0,1,1700.8236997140712,1625.225067690081,62.12960783535116,61.93815086433365,52.40101675763517,-1,75.59863202399015,87.72925796031495,0.8617265639951931,-52.40101675763517
38,Manchester City,Wolverhampton Wanderers,2009,1,0,1766.7381194883535,1697.4336236009563,61.964540392289685,59.37693009718509,52.40101675763517,1,69.30449588739725,85.82088378590437,0.8075481494724499,52.40101675763517
39,Wolverhampton Wanderers,Manchester City,2009,0,1,1697.4336236009563,1766.7381194883535,59.37693009718509,61.964540392289685,52.40101675763517,-1,-69.30449588739725,85.82088378590437,-0.8075481494724499,-52.40101675763517
40,Birmingham City,Stoke City,2009,0,0,1705.3105384788855,1703.4193088658228,60.404995237805835,61.55132799850007,52.40101675763517,1,1.8912296130627055,86.2399526209186,0.02192985449998918,52.40101675763517
41,Stoke City,Birmingham City,2009,0,0,1703.4193088658228,1705.3105384788855,61.55132799850007,60.404995237805835,52.40101675763517,-1,-1.8912296130627055,86.2399526209186,-0.02192985449998918,-52.40101675763517
42,Wigan Athletic,Manchester United,2009,0,5,1718.6362021673897,2011.0711162126981,61.43605122210241,65.85638802036668,52.40101675763517,1,-292.43491404530846,90.06360104311779,-3.246982250968466,52.40101675763517
43,Manchester United,Wigan Athletic,2009,5,0,2011.0711162126981,1718.6362021673897,65.85638802036668,61.43605122210241,52.40101675763517,-1,292.43491404530846,90.06360104311779,3.246982250968466,-52.40101675763517
44,Fulham,Chelsea,2009,0,2,1765.2063617189383,2012.4823714330337,62.105665050236105,65.65750917140795,52.40101675763517,1,-247.27600971409538,90.37711071906226,-2.7360468568502285,52.40101675763517
45,Chelsea,Fulham,2009,2,0,2012.4823714330337,1765.2063617189383,65.65750917140795,62.105665050236105,52.40101675763517,-1,247.27600971409538,90.37711071906226,2.7360468568502285,-52.40101675763517
46,West Ham United,Tottenham Hotspur,2009,1,2,1769.4034986309891,1802.5677384844794,62.03518003161583,61.29183549457777,52.40101675763517,1,-33.164239853490244,87.20695304761755,-0.3802935281477109,52.40101675763517
47,Tottenham Hotspur,West Ham United,2009,2,1,1802.5677384844794,1769.4034986309891,61.29183549457777,62.03518003161583,52.40101675763517,-1,33.164239853490244,87.20695304761755,0.3802935281477109,-52.40101675763517
48,Burnley,Everton,2009,1,0,1642.3216766232024,1840.1884909862297,59.40671254187597,62.162178570826164,52.40101675763517,1,-197.8668143630273,85.98426565194566,-2.301197932700492,52.40101675763517
