,Team,Opponent,Year,Goals,OppGoals,Rating,OppRating,HF,HomeAway
0,Portsmouth,Fulham,2009,0,1,1729.393688155988,1750.2716373869036,52.70260460923155,1
1,Fulham,Portsmouth,2009,1,0,1750.2716373869036,1729.393688155988,52.70260460923155,-1
2,Bolton Wanderers,Sunderland,2009,0,1,1713.6195253071471,1671.675424802406,52.70260460923155,1
3,Sunderland,Bolton Wanderers,2009,1,0,1671.675424802406,1713.6195253071471,52.70260460923155,-1
4,Blackburn Rovers,Manchester City,2009,0,2,1753.7384060433037,1747.577803068432,52.70260460923155,1
5,Manchester City,Blackburn Rovers,2009,2,0,1747.577803068432,1753.7384060433037,52.70260460923155,-1
6,Stoke City,Burnley,2009,2,0,1699.737448034208,1635.5087279723475,52.70260460923155,1
7,Burnley,Stoke City,2009,0,2,1635.5087279723475,1699.737448034208,52.70260460923155,-1
8,Everton,Arsenal,2009,1,6,1844.2424798732677,1934.3510881144173,52.70260460923155,1
9,Arsenal,Everton,2009,6,1,1934.3510881144173,1844.2424798732677,52.70260460923155,-1
10,Chelsea,Hull City,2009,2,1,1997.5373313312612,1629.0291201357936,52.70260460923155,1
11,Hull City,Chelsea,2009,1,2,1629.0291201357936,1997.5373313312612,52.70260460923155,-1
12,Wolverhampton Wanderers,West Ham United,2009,0,2,1694.6253639101328,1753.7639606949053,52.70260460923155,1
13,West Ham United,Wolverhampton Wanderers,2009,2,0,1753.7639606949053,1694.6253639101328,52.70260460923155,-1
14,Aston Villa,Wigan Athletic,2009,0,2,1810.0670564603302,1710.547168666685,52.70260460923155,1
15,Wigan Athletic,Aston Villa,2009,2,0,1710.547168666685,1810.0670564603302,52.70260460923155,-1
16,Tottenham Hotspur,Liverpool,2009,2,1,1786.8874155900755,1964.6517413964914,52.70260460923155,1
17,Liverpool,Tottenham Hotspur,2009,1,2,1964.6517413964914,1786.8874155900755,52.70260460923155,-1
18,Manchester United,Birmingham City,2009,1,0,2013.6380972612567,1696.8147973172738,52.70260460923155,1
19,Birmingham City,Manchester United,2009,0,1,1696.8147973172738,2013.6380972612567,52.70260460923155,-1
20,Sunderland,Chelsea,2009,1,3,1680.408169993206,1998.6591781463087,52.70260460923155,1
21,Chelsea,Sunderland,2009,3,1,1998.6591781463087,1680.408169993206,52.70260460923155,-1
22,Wigan Athletic,Wolverhampton Wanderers,2009,0,1,1720.288654647297,1687.854533271482,52.70260460923155,1
23,Wolverhampton Wanderers,Wigan Athletic,2009,1,0,1687.854533271482,1720.288654647297,52.70260460923155,-1
24,Liverpool,Stoke City,2009,4,0,1955.3719013797559,1704.3981560810012,52.70260460923155,1
25,Stoke City,Liverpool,2009,0,4,1704.3981560810012,1955.3719013797559,52.70260460923155,-1
26,Burnley,Manchester United,2009,1,0,1630.8480199255544,2015.1072896714415,52.70260460923155,1
27,Manchester United,Burnley,2009,0,1,2015.1072896714415,1630.8480199255544,52.70260460923155,-1
28,Hull City,Tottenham Hotspur,2009,1,5,1627.907273320746,1796.167255606811,52.70260460923155,1
29,Tottenham Hotspur,Hull City,2009,5,1,1796.167255606811,1627.907273320746,52.70260460923155,-1
30,Birmingham City,Portsmouth,2009,1,0,1695.345604907089,1721.8649381634916,52.70260460923155,1
31,Portsmouth,Birmingham City,2009,0,1,1721.8649381634916,1695.345604907089,52.70260460923155,-1
32,Arsenal,Portsmouth,2009,4,1,1940.5098266084613,1715.4852379694453,50.89973213629647,1
33,Portsmouth,Arsenal,2009,1,4,1715.4852379694453,1940.5098266084613,50.89973213629647,-1
34,Sunderland,Blackburn Rovers,2009,2,1,1677.9495646875475,1745.6820787194554,50.89973213629647,1
35,Blackburn Rovers,Sunderland,2009,1,2,1745.6820787194554,1677.9495646875475,50.89973213629647,-1
36,Hull City,Bolton Wanderers,2009,1,0,1623.2221241280622,1704.8867801163472,50.89973213629647,1
37,Bolton Wanderers,Hull City,2009,0,1,1704.8867801163472,1623.2221241280622,50.89973213629647,-1
38,Manchester City,Wolverhampton Wanderers,2009,1,0,1755.6341303922804,1696.4105561119754,50.89973213629647,1
39,Wolverhampton Wanderers,Manchester City,2009,0,1,1696.4105561119754,1755.6341303922804,50.89973213629647,-1
40,Birmingham City,Stoke City,2009,0,0,1701.7253051011353,1702.3522111122527,50.89973213629647,1
41,Stoke City,Birmingham City,2009,0,0,1702.3522111122527,1701.7253051011353,50.89973213629647,-1
42,Wigan Athletic,Manchester United,2009,0,5,1711.7326318068037,2003.091831966189,50.89973213629647,1
43,Manchester United,Wigan Athletic,2009,5,0,2003.091831966189,1711.7326318068037,50.89973213629647,-1
44,Fulham,Chelsea,2009,0,2,1757.8003873794,2001.1177834519672,50.89973213629647,1
45,Chelsea,Fulham,2009,2,0,2001.1177834519672,1757.8003873794,50.89973213629647,-1
46,West Ham United,Tottenham Hotspur,2009,1,2,1760.534791333556,1800.852404799495,50.89973213629647,1
47,Tottenham Hotspur,West Ham United,2009,2,1,1800.852404799495,1760.534791333556,50.89973213629647,-1
48,Burnley,Everton,2009,1,0,1642.863477630807,1838.0837413792237,50.89973213629647,1
49,Everton,Burnley,2009,0,1,1838.0837413792237,1642.863477630807,50.89973213629647,-1
50,Liverpool,Aston Villa,2009,1,3,1957.4178463485043,1800.325570479718,50.89973213629647,1
51,Aston Villa,Liverpool,2009,3,1,1800.325570479718,1957.4178463485043,50.89973213629647,-1
52,Wolverhampton Wanderers,Hull City,2009,1,1,1691.6281368525874,1630.7300021291292,51.076630493573155,1
53,Hull City,Wolverhampton Wanderers,2009,1,1,1630.7300021291292,1691.6281368525874,51.076630493573155,-1
54,Manchester United,Arsenal,2009,2,1,2005.855910294033,1942.8500611608783,51.076630493573155,1
55,Arsenal,Manchester United,2009,1,2,1942.8500611608783,2005.855910294033,51.076630493573155,-1
56,Bolton Wanderers,Liverpool,2009,2,3,1697.3789021152802,1946.8209804616913,51.076630493573155,1
57,Liverpool,Bolton Wanderers,2009,3,2,1946.8209804616913,1697.3789021152802,51.076630493573155,-1
58,Blackburn Rovers,West Ham United,2009,0,0,1738.4495040871122,1753.4261322387504,51.076630493573155,1
59,West Ham United,Blackburn Rovers,2009,0,0,1753.4261322387504,1738.4495040871122,51.076630493573155,-1
60,Stoke City,Sunderland,2009,1,0,1703.3435090599587,1685.1821393198907,51.076630493573155,1
61,Sunderland,Stoke City,2009,0,1,1685.1821393198907,1703.3435090599587,51.076630493573155,-1
62,Chelsea,Burnley,2009,3,0,2004.5437724107874,1652.4734994528137,51.076630493573155,1
63,Burnley,Chelsea,2009,0,3,1652.4734994528137,2004.5437724107874,51.076630493573155,-1
64,Tottenham Hotspur,Birmingham City,2009,2,1,1807.9610638943007,1700.7340071534293,51.076630493573155,1
65,Birmingham City,Tottenham Hotspur,2009,1,2,1700.7340071534293,1807.9610638943007,51.076630493573155,-1
66,Aston Villa,Fulham,2009,2,0,1810.922436366531,1754.3743984205798,51.076630493573155,1
67,Fulham,Aston Villa,2009,0,2,1754.3743984205798,1810.922436366531,51.076630493573155,-1
68,Portsmouth,Manchester City,2009,0,1,1713.1450034170282,1760.4165496516684,51.076630493573155,1
69,Manchester City,Portsmouth,2009,1,0,1760.4165496516684,1713.1450034170282,51.076630493573155,-1
70,Everton,Wigan Athletic,2009,2,1,1828.473719557217,1708.9685534789596,51.076630493573155,1
71,Wigan Athletic,Everton,2009,1,2,1708.9685534789596,1828.473719557217,51.076630493573155,-1
72,Blackburn Rovers,Wolverhampton Wanderers,2009,3,1,1737.7352784820682,1689.4787001644506,51.595992025643014,1
73,Wolverhampton Wanderers,Blackburn Rovers,2009,1,3,1689.4787001644506,1737.7352784820682,51.595992025643014,-1
74,Wigan Athletic,West Ham United,2009,1,0,1705.2087366929777,1754.1403578437944,51.595992025643014,1
75,West Ham United,Wigan Athletic,2009,0,1,1754.1403578437944,1705.2087366929777,51.595992025643014,-1
76,Stoke City,Chelsea,2009,1,2,1708.8852562643976,2005.7775612793919,51.595992025643014,1
77,Chelsea,Stoke City,2009,2,1,2005.7775612793919,1708.8852562643976,51.595992025643014,-1
78,Sunderland,Hull City,2009,4,1,1679.6403921154517,1632.879438817266,51.595992025643014,1
79,Hull City,Sunderland,2009,1,4,1632.879438817266,1679.6403921154517,51.595992025643014,-1
80,Tottenham Hotspur,Manchester United,2009,1,3,1811.9172798592683,2010.5673655508633,51.595992025643014,1
81,Manchester United,Tottenham Hotspur,2009,3,1,2010.5673655508633,1811.9172798592683,51.595992025643014,-1
82,Manchester City,Arsenal,2009,4,2,1767.390707308849,1938.138605904048,51.595992025643014,1
83,Arsenal,Manchester City,2009,2,4,1938.138605904048,1767.390707308849,51.595992025643014,-1
84,Liverpool,Burnley,2009,4,0,1950.1595582385523,1651.2397105842092,51.595992025643014,1
85,Burnley,Liverpool,2009,0,4,1651.2397105842092,1950.1595582385523,51.595992025643014,-1
86,Portsmouth,Bolton Wanderers,2009,2,3,1706.1708457598477,1694.0403243384192,51.595992025643014,1
87,Bolton Wanderers,Portsmouth,2009,3,2,1694.0403243384192,1706.1708457598477,51.595992025643014,-1
88,Fulham,Everton,2009,2,1,1749.5469366296177,1832.233536343199,51.595992025643014,1
89,Everton,Fulham,2009,1,2,1832.233536343199,1749.5469366296177,51.595992025643014,-1
90,Birmingham City,Aston Villa,2009,0,1,1696.7777911884616,1815.7498981574931,51.595992025643014,1
91,Aston Villa,Birmingham City,2009,1,0,1815.7498981574931,1696.7777911884616,51.595992025643014,-1
92,West Ham United,Liverpool,2009,2,3,1747.29465226602,1951.7787135713866,52.18395101036697,1
93,Liverpool,West Ham United,2009,3,2,1951.7787135713866,1747.29465226602,52.18395101036697,-1
94,Burnley,Sunderland,2009,3,1,1649.620555251375,1684.6365965568768,52.18395101036697,1
95,Sunderland,Burnley,2009,1,3,1684.6365965568768,1649.620555251375,52.18395101036697,-1
96,Arsenal,Wigan Athletic,2009,4,0,1928.9627291920967,1712.0544422707521,52.18395101036697,1
97,Wigan Athletic,Arsenal,2009,0,4,1712.0544422707521,1928.9627291920967,52.18395101036697,-1
98,Aston Villa,Portsmouth,2009,2,0,1821.32722155168,1698.020899279025,52.18395101036697,1
99,Portsmouth,Aston Villa,2009,0,2,1698.020899279025,1821.32722155168,52.18395101036697,-1
100,Bolton Wanderers,Stoke City,2009,1,1,1702.190270819242,1706.1822073812925,52.18395101036697,1
101,Stoke City,Bolton Wanderers,2009,1,1,1706.1822073812925,1702.190270819242,52.18395101036697,-1
102,Hull City,Birmingham City,2009,0,1,1627.8832343758409,1691.2004677942748,52.18395101036697,1
