,Team,ELO,Year
0,Swindon Town,1269.653676720753,1958
1,Notts County,1180.9642605381039,1958
2,Carlisle United,1045.7922697185531,1958
3,Bradford Park Avenue,963.1530192323152,1958
4,Cardiff City,1529.860359760742,1958
5,Barrow,955.3074146853858,1958
6,Burnley,1749.5880605564055,1958
7,Charlton Athletic,1507.6181958042473,1958
8,Fulham,1557.3794329827845,1958
9,Tranmere Rovers,1267.6436167420022,1958
10,Bolton Wanderers,1781.756747854415,1958
11,Huddersfield Town,1477.1670570642063,1958
12,Mansfield Town,1222.5769093474744,1958
13,Stockport County,1211.5007849877254,1958
14,Leyton Orient,1461.9699300909745,1958
15,Lincoln City,1428.785672719457,1958
16,Liverpool,1567.8608555201922,1958
17,Middlesbrough,1468.95968854622,1958
18,Reading,1265.2929837209103,1958
19,Norwich City,1235.112834529248,1958
20,Scunthorpe United,1479.069903460414,1958
21,Watford,994.9836304775167,1958
22,Bristol City,1506.5810386073213,1958
23,Hull City,1312.2877239688157,1958
24,AFC Bournemouth,1228.0177015633524,1958
25,Coventry City,1068.2036987338718,1958
26,Luton Town,1732.9593056452677,1958
27,Manchester United,1786.6002808130106,1958
28,Chesterfield,1213.0448069103807,1958
29,Colchester United,1278.653162481734,1958
30,Leicester City,1726.7471224544481,1958
31,Hartlepool United,945.9736452000084,1958
32,Newcastle United,1733.6739301279752,1958
33,Chester,1020.031075845022,1958
34,Oldham Athletic,958.8329151418394,1958
35,Port Vale,1063.5942546642445,1958
36,Gillingham,1002.5773169828235,1958
37,Sheffield Wednesday,1588.31483673495,1958
38,Preston North End,1766.219692413913,1958
39,Exeter City,1064.741342716889,1958
40,Aston Villa,1685.4712435769227,1958
41,Tottenham Hotspur,1698.1081178111726,1958
42,Wolverhampton Wanderers,1812.1029064189743,1958
43,Brentford,1265.1570336392174,1958
44,Portsmouth,1695.4014717671728,1958
45,Crystal Palace,1018.8780945613946,1958
46,Sheffield United,1543.8744730975595,1958
