,Ipswich,Middlesbrough,Stoke,Hull,Blackpool,York,Southampton,Sheffield,Portsmouth,Oxford,Nottingham,Norwich,Newcastle,Manchester,London,Liverpool,Leeds,Exeter,Dover,Derby,Cardiff,Bristol,Birmingham,Swansea
Swansea,275,319,187,289,261,272,159,219,179,145,192,276,342,214,191,206,249,161,269,183,41,85,143,0
Birmingham,150,174,44,138,145,129,128,76,141,63,49,161,204,81,111,90,110,164,185,40,102,88,0,143
Bristol,207,264,126,228,216,217,74,164,94,70,137,209,288,162,114,161,196,75,189,127,44,0,88,85
Cardiff,240,284,146,248,220,231,118,178,138,104,151,235,301,173,150,165,208,120,228,142,0,44,102,41
Derby,162,130,34,94,136,88,154,37,175,90,16,139,161,59,123,81,70,203,196,0,142,127,40,183
Dover,126,314,253,258,325,264,143,229,131,129,196,156,343,257,74,270,257,244,0,196,228,189,185,269
Exeter,263,337,199,300,292,292,107,240,124,141,213,282,364,238,170,237,271,0,244,203,120,75,164,161
Leeds,200,66,96,61,128,25,229,34,242,164,70,174,94,41,191,73,0,271,257,70,208,196,110,249
Liverpool,245,140,60,127,55,97,217,72,231,153,99,217,155,34,198,0,73,237,270,81,165,161,90,206
London,82,257,166,201,253,194,77,160,71,56,123,112,274,184,0,198,191,170,74,123,150,114,111,191
Manchester,237,113,48,98,64,65,208,38,222,144,71,185,131,0,184,34,41,238,257,59,173,162,81,214
Newcastle,287,41,198,131,100,82,319,128,332,254,159,260,0,131,274,155,94,364,343,161,301,288,204,342
Norwich,45,221,198,144,272,181,190,146,184,141,123,0,260,185,112,217,174,282,156,139,235,209,161,276
Nottingham,141,127,52,91,154,80,160,38,173,95,0,123,159,71,123,99,70,213,196,16,151,137,49,192
Oxford,141,233,117,193,208,174,65,130,78,0,95,141,254,144,56,153,164,141,129,90,104,70,63,145
Portsmouth,159,314,199,276,286,252,17,208,0,78,173,184,332,222,71,231,242,124,131,175,138,94,141,179
Sheffield,175,100,79,67,127,53,195,0,208,130,38,146,128,38,160,72,34,240,229,37,178,164,76,219
Southampton,169,295,182,260,272,239,0,195,17,65,160,190,319,208,77,217,229,107,143,154,118,74,128,159
York,209,57,121,48,97,0,239,53,252,174,80,181,82,65,194,97,25,292,264,88,231,217,129,272
Blackpool,272,120,84,138,0,97,272,127,286,208,154,272,100,64,253,55,128,292,325,136,220,216,145,261
Hull,194,90,127,0,138,48,260,67,276,193,91,144,131,98,201,127,61,300,258,94,248,228,138,289
Stoke,191,160,0,127,84,121,182,79,199,117,52,198,198,48,166,60,96,199,253,34,146,126,44,187
Middlesbrough,251,0,160,90,120,57,295,100,314,233,127,221,41,113,257,140,66,337,314,130,284,264,174,319
Ipswich,0,251,191,194,272,209,169,175,159,141,141,45,287,237,82,245,200,263,126,162,240,207,150,275
