,Team,Opponent,Year,Goals,OppGoals,Rating,OppRating,Rd,OppRd,HF,HomeAway,RatingDif,EffRd,RatingDifRat,EffHf
0,Portsmouth,Fulham,2009,0,1,1728.9351568629845,1745.8339440380134,62.588312228646046,61.80788187398336,54.22971708605998,1,-16.89878717502893,87.96312346306698,-0.19211217735036673,54.22971708605998
1,Fulham,Portsmouth,2009,1,0,1745.8339440380134,1728.9351568629845,61.80788187398336,62.588312228646046,54.22971708605998,-1,16.89878717502893,87.96312346306698,0.19211217735036673,-54.22971708605998
2,Bolton Wanderers,Sunderland,2009,0,1,1707.6264712767463,1665.358219415558,61.310779508695056,63.36116362402768,54.22971708605998,1,42.26825186118822,88.1682978159079,0.47940419525216127,54.22971708605998
3,Sunderland,Bolton Wanderers,2009,1,0,1665.358219415558,1707.6264712767463,63.36116362402768,61.310779508695056,54.22971708605998,-1,-42.26825186118822,88.1682978159079,-0.47940419525216127,-54.22971708605998
4,Blackburn Rovers,Manchester City,2009,0,2,1745.6627526564403,1748.3654090660893,63.97116530268128,62.13150638991099,54.22971708605998,1,-2.70265640964908,89.17754244462293,-0.030306468821198605,54.22971708605998
5,Manchester City,Blackburn Rovers,2009,2,0,1748.3654090660893,1745.6627526564403,62.13150638991099,63.97116530268128,54.22971708605998,-1,2.70265640964908,89.17754244462293,0.030306468821198605,-54.22971708605998
6,Stoke City,Burnley,2009,2,0,1690.4515310741717,1625.4885169313259,60.892265546060216,58.899824916764366,54.22971708605998,1,64.96301414284585,84.71751518167544,0.7668191637058009,54.22971708605998
7,Burnley,Stoke City,2009,0,2,1625.4885169313259,1690.4515310741717,58.899824916764366,60.892265546060216,54.22971708605998,-1,-64.96301414284585,84.71751518167544,-0.7668191637058009,-54.22971708605998
8,Everton,Arsenal,2009,1,6,1841.2341611907636,1931.356714092672,61.15948382581917,62.78642469745354,54.22971708605998,1,-90.12255290190842,87.6505424291809,-1.028203025380303,54.22971708605998
9,Arsenal,Everton,2009,6,1,1931.356714092672,1841.2341611907636,62.78642469745354,61.15948382581917,54.22971708605998,-1,90.12255290190842,87.6505424291809,1.028203025380303,-54.22971708605998
10,Chelsea,Hull City,2009,2,1,2002.923716871048,1627.3021910999273,68.87547432350887,61.20544557598514,54.22971708605998,1,375.6215257711208,92.14085701491607,4.076601172814292,54.22971708605998
11,Hull City,Chelsea,2009,1,2,1627.3021910999273,2002.923716871048,61.20544557598514,68.87547432350887,54.22971708605998,-1,-375.6215257711208,92.14085701491607,-4.076601172814292,-54.22971708605998
12,Wolverhampton Wanderers,West Ham United,2009,0,2,1688.1624897919867,1752.1986849337566,59.10892217329818,62.32964514389536,54.22971708605998,1,-64.0361951417699,85.90022901164431,-0.7454717627480293,54.22971708605998
13,West Ham United,Wolverhampton Wanderers,2009,2,0,1752.1986849337566,1688.1624897919867,62.32964514389536,59.10892217329818,54.22971708605998,-1,64.0361951417699,85.90022901164431,0.7454717627480293,-54.22971708605998
14,Aston Villa,Wigan Athletic,2009,0,2,1819.236500834987,1711.7883082466997,61.22205107989175,66.17514652179199,54.22971708605998,1,107.44819258828738,90.1514811614846,1.1918627537113884,54.22971708605998
15,Wigan Athletic,Aston Villa,2009,2,0,1711.7883082466997,1819.236500834987,66.17514652179199,61.22205107989175,54.22971708605998,-1,-107.44819258828738,90.1514811614846,-1.1918627537113884,-54.22971708605998
16,Tottenham Hotspur,Liverpool,2009,2,1,1776.3240191457962,1969.7194284203563,62.91647458285382,62.91211359349621,54.22971708605998,1,-193.39540927456005,88.974248020064,-2.173611056886356,54.22971708605998
17,Liverpool,Tottenham Hotspur,2009,1,2,1969.7194284203563,1776.3240191457962,62.91211359349621,62.91647458285382,54.22971708605998,-1,193.39540927456005,88.974248020064,2.173611056886356,-54.22971708605998
18,Manchester United,Birmingham City,2009,1,0,2021.5121755144314,1692.1453423055088,64.68797928204386,60.06023935706963,54.22971708605998,1,329.36683320892257,88.2709862594875,3.731314752060128,54.22971708605998
19,Birmingham City,Manchester United,2009,0,1,1692.1453423055088,2021.5121755144314,60.06023935706963,64.68797928204386,54.22971708605998,-1,-329.36683320892257,88.2709862594875,-3.731314752060128,-54.22971708605998
20,Sunderland,Chelsea,2009,1,3,1665.358219415558,2002.923716871048,63.36116362402768,68.87547432350887,54.22971708605998,1,-337.56549745549,93.5866871893601,-3.6069820141455753,54.22971708605998
21,Chelsea,Sunderland,2009,3,1,2002.923716871048,1665.358219415558,68.87547432350887,63.36116362402768,54.22971708605998,-1,337.56549745549,93.5866871893601,3.6069820141455753,-54.22971708605998
22,Wigan Athletic,Wolverhampton Wanderers,2009,0,1,1711.7883082466997,1688.1624897919867,66.17514652179199,59.10892217329818,54.22971708605998,1,23.625818454713,88.73001012999863,0.26626637842257356,54.22971708605998
23,Wolverhampton Wanderers,Wigan Athletic,2009,1,0,1688.1624897919867,1711.7883082466997,59.10892217329818,66.17514652179199,54.22971708605998,-1,-23.625818454713,88.73001012999863,-0.26626637842257356,-54.22971708605998
24,Liverpool,Stoke City,2009,4,0,1969.7194284203563,1690.4515310741717,62.91211359349621,60.892265546060216,54.22971708605998,1,279.26789734618455,87.55456607243784,3.18964401142864,54.22971708605998
25,Stoke City,Liverpool,2009,0,4,1690.4515310741717,1969.7194284203563,60.892265546060216,62.91211359349621,54.22971708605998,-1,-279.26789734618455,87.55456607243784,-3.18964401142864,-54.22971708605998
26,Burnley,Manchester United,2009,1,0,1625.4885169313259,2021.5121755144314,58.899824916764366,64.68797928204386,54.22971708605998,1,-396.02365858310554,87.48556474538888,-4.52673146404966,54.22971708605998
27,Manchester United,Burnley,2009,0,1,2021.5121755144314,1625.4885169313259,64.68797928204386,58.899824916764366,54.22971708605998,-1,396.02365858310554,87.48556474538888,4.52673146404966,-54.22971708605998
28,Hull City,Tottenham Hotspur,2009,1,5,1627.3021910999273,1776.3240191457962,61.20544557598514,62.91647458285382,54.22971708605998,1,-149.02182804586892,87.77579018208705,-1.6977554714885463,54.22971708605998
29,Tottenham Hotspur,Hull City,2009,5,1,1776.3240191457962,1627.3021910999273,62.91647458285382,61.20544557598514,54.22971708605998,-1,149.02182804586892,87.77579018208705,1.6977554714885463,-54.22971708605998
30,Birmingham City,Portsmouth,2009,1,0,1692.1453423055088,1728.9351568629845,60.06023935706963,62.588312228646046,54.22971708605998,1,-36.789814557475665,86.74404405640182,-0.42411919985601054,54.22971708605998
31,Portsmouth,Birmingham City,2009,0,1,1728.9351568629845,1692.1453423055088,62.588312228646046,60.06023935706963,54.22971708605998,-1,36.789814557475665,86.74404405640182,0.42411919985601054,-54.22971708605998
