Club,Manager,From,To,Tenure (days),Gap (days),Caretaker?,Exclude?,Data concern?,Comments
Accrington,John Coleman,1/5/99,23/01/2012,4650,,,,,"Accrington's previous incarnation left the Football League pre-1965, so don't need any previous data here"
Accrington,Paul Cook,13/02/2012,25/10/2012,255,21,,,,
Accrington,Leam Richardson,25/10/2012,1/11/12,7,0,Y,Y,,Caretaker spell before signing permanent deal
Accrington,Leam Richardson,1/11/12,30/04/2013,180,0,,,,
Accrington,James Beattie,13/05/2013,12/9/14,487,13,,,,
Accrington,John Coleman,18/09/2014,19/02/2019,1615,6,,,,
Aldershot,Dave Smith,1/7/59,1/3/67,2800,,,,Y,Need more accurate date; found some info at http://www.mselliott.plus.com/managers.html
Aldershot,Tom McAnearney,1/3/67,1/10/68,580,0,,,Y,Need more accurate date
Aldershot,Dick Conner,1/10/68,1/11/68,31,0,Y,Y,Y,Need more accurate date
Aldershot,Smith (General Manager) & Melia (Coach),1/11/68,1/4/69,151,0,,,Y,Need more accurate date
Aldershot,Jimmy Melia,1/4/69,1/1/72,1005,0,,,Y,Need more accurate date
Aldershot,Cliff Huxford,1/1/72,1/5/72,121,0,Y,N,Y,Need more accurate date; caretaker but for prolonged spell
Aldershot,Tom McAnearney,1/5/72,1/1/81,3167,0,,,Y,Need more accurate date
Aldershot,Len Walker,1/1/81,1/11/84,1400,0,,,Y,Need more accurate date
Aldershot,Ron Harris,1/11/84,1/6/85,212,0,,,Y,Need more accurate date
Aldershot,Len Walker,1/6/85,1/3/91,2099,0,,,Y,Need more accurate date
Aldershot,Brian Talbot,1/3/91,1/11/91,245,0,,,Y,Need more accurate date
Aldershot,Ian McDonald,1/11/91,25/03/1992,145,0,Y,Y,Y,Need more accurate date
Aldershot,Terry Brown,25/03/2002,15/05/2007,1877,3652,,,,Gap unimportant as not in the Football League during this spell
Aldershot,Gary Waddock,18/05/2007,14/10/2009,880,3,,,,
Aldershot,Kevin Dillon,9/11/09,10/1/11,427,26,,,,
Aldershot,Dean Holdsworth,11/1/11,20/02/2013,771,1,,,,
Aldershot,Andy Scott,22/02/2013,21/01/2015,698,2,,,,
Aldershot,Chris Barker,21/01/2015,19/02/2019,1490,0,,,,Not in top 4 divisions - no need to be current
Arsenal,Billy Wright,1/5/62,13/06/1966,1504,,,,,
Arsenal,Bertie Mee,20/06/1966,4/5/76,3606,7,,,,
Arsenal,Terry Neill,9/7/76,16/12/1983,2716,66,,,,
Arsenal,Don Howe,16/12/1983,22/03/1986,827,0,,,,
Arsenal,Steve Burtenshaw,23/03/1986,14/05/1986,52,1,Y,Y,,Caretaker but for a prolonged spell
Arsenal,George Graham,14/05/1986,21/02/1995,3205,0,,,,
Arsenal,Stewart Houston,21/02/1995,15/06/1995,114,0,Y,N,,Caretaker but for a prolonged spell (19 matches)
Arsenal,Bruce Rioch,15/06/1995,12/8/96,424,0,,,,
Arsenal,Stewart Houston,12/8/96,13/09/1996,32,0,Y,Y,,
Arsenal,Pat Rice,13/09/1996,30/09/1996,17,0,Y,Y,,
Arsenal,Arsene Wenger,30/09/1996,19/02/2019,8177,0,,,,
Aston Villa,Dick Taylor,1/7/64,31/05/1967,1064,,,,,Need more accurate date
Aston Villa,Tommy Cummings,1/7/67,30/11/1968,518,31,,,,Need more accurate date
Aston Villa,Tommy Docherty,1/12/68,1/1/70,396,1,,,,Need more accurate date
Aston Villa,Vic Crowe,1/1/70,6/5/74,1586,0,,,,Need more accurate date
Aston Villa,Ron Saunders,4/6/74,9/2/82,2807,29,,,,
Aston Villa,Tony Barton,9/2/82,18/06/1984,860,0,,,,
Aston Villa,Graham Turner,16/07/1984,14/09/1986,790,28,,,,
Aston Villa,Billy McNeill,22/09/1986,8/5/87,228,8,,,,
Aston Villa,Graham Taylor,18/05/1987,14/07/1990,1153,10,,,,
Aston Villa,Jozef Venglos,22/07/1990,28/05/1991,310,8,,,,
Aston Villa,Ron Atkinson,7/7/91,10/11/94,1222,40,,,,
Aston Villa,Brian Little,25/11/1994,24/02/1998,1187,15,,,,
Aston Villa,John Gregory,25/02/1998,24/01/2002,1429,1,,,,
Aston Villa,Graham Taylor,5/2/02,14/05/2003,463,12,,,,
Aston Villa,David O'Leary,20/05/2003,19/07/2006,1156,6,,,,
Aston Villa,Martin O'Neill,5/8/06,9/8/10,1465,17,,,,
Aston Villa,Gerard Houllier,21/09/2010,1/6/11,253,43,,,,
Aston Villa,Alex McLeish,17/06/2011,14/05/2012,332,16,,,,
Aston Villa,Paul Lambert,2/6/12,11/2/15,984,19,,,,
Aston Villa,Tim Sherwood,14/02/2015,15/10/2015,243,3,,,,
Aston Villa,Kevin MacDonald,15/10/2015,2/11/15,18,0,Y,Y,,
