,City
Arsenal,London
Aston Villa,Birmingham
Barnsley,Sheffield
Birmingham,Birmingham
Blackburn,Manchester
Blackpool,Blackpool
Bolton,Manchester
Bournemouth,Southampton
Bradford,Leeds
Burnley,Manchester
Cardiff,Cardiff
Charlton,London
Chelsea,London
Coventry,Birmingham
Crystal Palace,London
Derby,Nottingham
Everton,Liverpool
Fulham,London
Hull,Hull
Ipswich,Ipswich
Leeds,Leeds
Leicester,Nottingham
Liverpool,Liverpool
Man City,Manchester
Man United,Manchester
Middlesbrough,Middlesbrough
Newcastle,Newcastle
Norwich,Norwich
Nott'm Forest,Nottingham
Portsmouth,Portsmouth
QPR,London
Reading,Oxford
Sheffield United,Sheffield
Sheffield Weds,Sheffield
Southampton,Southampton
Stoke,Stoke
Sunderland,Newcastle
Swansea,Swansea
Tottenham,London
Watford,London
West Brom,Birmingham
West Ham,London
Wigan,Manchester
Wimbledon,London
Wolves,Birmingham
