Season,Tier,Average Home Goals,Average Away Goals,Average Total Goals,Difference
1888,1,2.651515152,1.787878788,4.439393939,0.863636364
1889,1,2.992424242,1.636363636,4.628787879,1.356060606
1890,1,2.704545455,1.492424242,4.196969697,1.212121212
1891,1,2.791208791,1.478021978,4.269230769,1.313186813
1892,1,2.60483871,1.5,4.10483871,1.10483871
1893,1,2.631111111,1.442222222,4.073333333,1.188888889
1894,1,2.679166667,1.3625,4.041666667,1.316666667
1895,1,2.46875,1.175,3.64375,1.29375
1896,1,2.241666667,1.214583333,3.45625,1.027083333
1897,1,2.183333333,1.116666667,3.3,1.066666667
1898,1,2.200980392,1.019607843,3.220588235,1.181372549
1899,1,2.027777778,0.97875817,3.006535948,1.049019608
1900,1,1.823529412,0.911764706,2.735294118,0.911764706
1901,1,1.960784314,0.857843137,2.818627451,1.102941176
1902,1,1.975490196,1.004901961,2.980392157,0.970588235
1903,1,1.998366013,1.075163399,3.073529412,0.923202614
1904,1,1.861111111,1.089869281,2.950980392,0.77124183
1905,1,2.021052632,1.081578947,3.102631579,0.939473684
1906,1,2.018421053,1.011842105,3.030263158,1.006578947
1907,1,1.976315789,1.132894737,3.109210526,0.843421053
1908,1,1.803947368,1.105263158,2.909210526,0.698684211
1909,1,1.968421053,1.136842105,3.105263158,0.831578947
1910,1,1.763157895,0.971052632,2.734210526,0.792105263
1911,1,1.775,0.973684211,2.748684211,0.801315789
1912,1,1.902631579,1.090789474,2.993421053,0.811842105
1913,1,1.776315789,1.005263158,2.781578947,0.771052632
1914,1,1.947368421,1.126315789,3.073684211,0.821052632
1919,1,1.787878788,1.044372294,2.832251082,0.743506494
1920,1,1.621933622,0.881673882,2.503607504,0.74025974
1921,1,1.702718007,0.886749717,2.589467724,0.81596829
1922,1,1.657417894,0.851075878,2.508493771,0.806342016
1923,1,1.665584416,0.820887446,2.486471861,0.84469697
1924,1,1.685606061,0.857683983,2.543290043,0.827922078
1925,1,2.237012987,1.211580087,3.448593074,1.0254329
1926,1,2.308441558,1.273809524,3.582251082,1.034632035
1927,1,2.316558442,1.324134199,3.640692641,0.992424242
1928,1,2.287878788,1.269480519,3.557359307,1.018398268
1929,1,2.276515152,1.286255411,3.562770563,0.99025974
1930,1,2.368506494,1.318722944,3.687229437,1.04978355
1931,1,2.299229923,1.299779978,3.599009901,0.999449945
1932,1,2.272727273,1.251082251,3.523809524,1.021645022
1933,1,2.189935065,1.214285714,3.404220779,0.975649351
1934,1,2.21482684,1.197510823,3.412337662,1.017316017
1935,1,2.167207792,1.143939394,3.311147186,1.023268398
1936,1,2.133116883,1.185606061,3.318722944,0.947510823
1937,1,1.884199134,1.060064935,2.944264069,0.824134199
1938,1,2.011363636,1.12012987,3.131493506,0.891233766
1939,1,1.8359375,1.1484375,2.984375,0.6875
1946,1,1.979437229,1.297077922,3.276515152,0.682359307
1947,1,1.725649351,1.13474026,2.86038961,0.590909091
1948,1,1.774891775,1.068181818,2.843073593,0.706709957
1949,1,1.710497835,1.064935065,2.7754329,0.645562771
1950,1,1.862919132,1.151380671,3.014299803,0.711538462
1951,1,1.969428008,1.174556213,3.143984221,0.794871795
1952,1,1.968934911,1.182938856,3.151873767,0.785996055
1953,1,2.008382643,1.168639053,3.177021696,0.83974359
1954,1,1.930473373,1.261341223,3.191814596,0.66913215
1955,1,2.059664694,1.24408284,3.303747535,0.815581854
1956,1,2.08678501,1.294378698,3.381163708,0.792406312
1957,1,2.062623274,1.311143984,3.373767258,0.75147929
1958,1,2.062130178,1.302268245,3.364398422,0.759861933
1959,1,2.023668639,1.296351085,3.320019724,0.727317554
1960,1,2.118343195,1.325936884,3.444280079,0.792406312
1961,1,2.005459057,1.267990074,3.273449132,0.737468983
1962,1,1.982248521,1.292899408,3.275147929,0.689349112
1963,1,1.92800789,1.227317554,3.155325444,0.700690335
1964,1,1.988658777,1.216469428,3.205128205,0.772189349
1965,1,1.898915187,1.172583826,3.071499014,0.726331361
1966,1,1.802268245,1.104043393,2.906311637,0.698224852
1967,1,1.743096647,1.075936884,2.819033531,0.667159763
1968,1,1.606015779,0.956114398,2.562130178,0.649901381
1969,1,1.637573964,0.99704142,2.634615385,0.640532544
1970,1,1.542406312,0.986686391,2.529092702,0.555719921
1971,1,1.618836292,0.973372781,2.592209073,0.645463511
1972,1,1.565088757,0.917159763,2.482248521,0.647928994
1973,1,1.514060187,0.921558954,2.435619142,0.592501233
1974,1,1.58530572,0.921104536,2.506410256,0.664201183
1975,1,1.587278107,0.985700197,2.572978304,0.601577909
1976,1,1.656311637,0.985700197,2.642011834,0.67061144
1977,1,1.615877712,0.980769231,2.596646943,0.635108481
1978,1,1.548323471,1.009861933,2.558185404,0.538461538
1979,1,1.58382643,0.982248521,2.566074951,0.601577909
1980,1,1.525147929,0.941321499,2.466469428,0.58382643
1981,1,1.527120316,1.07495069,2.602071006,0.452169625
1982,1,1.715976331,1.058678501,2.774654832,0.65729783
1983,1,1.693293886,1.055226824,2.74852071,0.638067061
1984,1,1.623274162,1.100591716,2.723865878,0.522682446
1985,1,1.693786982,1.106015779,2.799802761,0.587771203
1986,1,1.554240631,1.045857988,2.600098619,0.508382643
1987,1,1.546305419,1.077832512,2.624137931,0.468472906
1988,1,1.583005894,1.079076621,2.662082515,0.503929273
1989,1,1.540275049,1.088408644,2.628683694,0.451866405
1990,1,1.555992141,1.059921415,2.615913556,0.496070727
1991,1,1.522189349,1.078402367,2.600591716,0.443786982
1992,1,1.57642998,1.116370809,2.692800789,0.460059172
1993,1,1.534023669,1.137573964,2.671597633,0.396449704
1994,1,1.510848126,1.07938856,2.590236686,0.431459566
1995,1,1.475933202,1.060903733,2.536836935,0.41502947
1996,1,1.472003929,1.031925344,2.503929273,0.440078585
1997,1,1.506385069,1.046168959,2.552554028,0.46021611
1998,1,1.458251473,1.07956778,2.537819253,0.378683694
1999,1,1.459724951,1.07367387,2.533398821,0.386051081
2000,1,1.499508841,1.06827112,2.567779961,0.431237721
2001,1,1.537819253,1.092337917,2.630157171,0.445481336
2002,1,1.478880157,1.149803536,2.628683694,0.329076621
2003,1,1.501964637,1.103634578,2.605599214,0.398330059
2004,1,1.464636542,1.09675835,2.561394892,0.367878193
2005,1,1.417976424,1.067779961,2.485756385,0.350196464
2006,1,1.434184676,1.084479371,2.518664047,0.349705305
2007,1,1.414047151,1.11935167,2.533398821,0.294695481
2008,1,1.430746562,1.114440079,2.54518664,0.316306483
2009,1,1.541748527,1.1021611,2.643909627,0.439587426
2010,1,1.531434185,1.213163065,2.74459725,0.31827112
2011,1,1.476915521,1.191060904,2.667976424,0.285854617
2012,1,1.446463654,1.175834971,2.622298625,0.270628684
2013,1,1.416994106,1.161591356,2.578585462,0.25540275
1892,2,2.863636364,1.613636364,4.477272727,1.25
1893,2,2.766666667,1.49047619,4.257142857,1.276190476
1894,2,2.904166667,1.358333333,4.2625,1.545833333
1895,2,2.6875,1.2375,3.925,1.45
1896,2,2.575,1.208333333,3.783333333,1.366666667
1897,2,2.433333333,1.15,3.583333333,1.283333333
1898,2,2.529411765,1.075163399,3.604575163,1.454248366
1899,2,2.212418301,1.003267974,3.215686275,1.209150327
1900,2,1.846405229,0.830065359,2.676470588,1.016339869
1901,2,1.996732026,0.895424837,2.892156863,1.10130719
1902,2,2.065359477,1.003267974,3.068627451,1.062091503
1903,2,2.098039216,0.980392157,3.078431373,1.117647059
1904,2,1.901960784,1.045751634,2.947712418,0.85620915
1905,2,1.894736842,1.042105263,2.936842105,0.852631579
1906,2,2.073684211,0.965789474,3.039473684,1.107894737
1907,2,2.065789474,1.057894737,3.123684211,1.007894737
1908,2,1.771052632,0.928947368,2.7,0.842105263
1909,2,2.026315789,1.042105263,3.068421053,0.984210526
1910,2,1.818421053,0.944736842,2.763157895,0.873684211
1911,2,1.771052632,0.944736842,2.715789474,0.826315789
1912,2,1.965789474,0.986842105,2.952631579,0.978947368
1913,2,1.744736842,0.915789474,2.660526316,0.828947368
1914,2,1.939473684,1.047368421,2.986842105,0.892105263
1919,2,1.774891775,1.006493506,2.781385281,0.768398268
1920,2,1.517316017,0.779220779,2.296536797,0.738095238
1921,2,1.502164502,0.794372294,2.296536797,0.707792208
1922,2,1.458874459,0.824675325,2.283549784,0.634199134
1923,2,1.634199134,0.800865801,2.435064935,0.833333333
1924,2,1.508658009,0.803030303,2.311688312,0.705627706
1925,2,2.123376623,1.095238095,3.218614719,1.028138528
1926,2,2.354978355,1.255411255,3.61038961,1.0995671
