Team,Year,Home Result,Away Result,HFAdv
Arsenal,1995,1,0,1
Tottenham Hotspur,1995,3,1,2
Arsenal,1996,1,0,1
Tottenham Hotspur,1996,3,1,2
Arsenal,1997,3,1,2
Tottenham Hotspur,1997,1,0,1
Arsenal,1998,1,1,0
Tottenham Hotspur,1998,1,1,0
Arsenal,1999,1,3,-2
Tottenham Hotspur,1999,0,1,-1
Arsenal,2000,3,0,3
Tottenham Hotspur,2000,3,0,3
Arsenal,2001,3,1,2
Tottenham Hotspur,2001,1,0,1
Arsenal,2002,3,1,2
Tottenham Hotspur,2002,1,0,1
Arsenal,2003,3,1,2
Tottenham Hotspur,2003,1,0,1
Arsenal,2004,3,1,2
Tottenham Hotspur,2004,1,0,1
Arsenal,2005,3,3,0
Tottenham Hotspur,2005,0,0,0
Arsenal,2006,1,1,0
Tottenham Hotspur,2006,1,1,0
Arsenal,2007,3,1,2
Tottenham Hotspur,2007,1,0,1
Arsenal,2008,3,3,0
Tottenham Hotspur,2008,0,0,0
Arsenal,2009,1,1,0
Tottenham Hotspur,2009,1,1,0
Arsenal,2010,3,0,3
Tottenham Hotspur,2010,3,0,3
Arsenal,2011,0,1,-1
Tottenham Hotspur,2011,3,1,2
Arsenal,2012,3,0,3
Tottenham Hotspur,2012,3,0,3
Arsenal,2013,3,0,3
Tottenham Hotspur,2013,3,0,3
Arsenal,2014,3,3,0
Tottenham Hotspur,2014,0,0,0
Arsenal,2015,1,0,1
Tottenham Hotspur,2015,3,1,2
Arsenal,2016,1,1,0
Tottenham Hotspur,2016,1,1,0
Arsenal,2017,1,0,1
Tottenham Hotspur,2017,3,1,2
